Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Lightshift,"Lisbon, PT",Europe,-,Crypto-native VC (small),Seed + studio,Infra,-,-,n/a,Monitor,K
Lightspeed Faction,"SF, CA",US West,-,Crypto arm of Lightspeed,Early-stage,Broad crypto,Sam Harrison,-,$285M (2023),Monitor,R,,Door: West Coast; Excluded from NYC map
Mechanism Capital,"New York, NY (verify)",NYC,HQ,Liquid-leaning hybrid,Venture + liquid,"DeFi, gaming (historic)",Andrew Kang,-,n/a,Monitor,K,,Door: Liquid-leaning; network only; Cadence unclear post-2024
Metalayer,NYC-linked (verify),NYC,Verify,Emerging fund,Early-stage,Crypto,Two Sigma veterans,Verify associations,~$25M,Monitor,R,,Door: Small; emerging; Full detail on VC Fund Database tab
Mirana Ventures,Singapore / Dubai,Asia,-,CVC (Bybit-affiliated),Equity + tokens,Exchange ecosystem,-,-,n/a,Monitor,K
Neoclassic Capital,"Miami, FL",US Other,People (Bucella),Crypto-native VC,Early-stage,Broad crypto,"Michael Bucella, Steve Lee",Building; a16z-figure backing,n/a,Monitor,R,,Door: Bucella NYC-visible; Miami HQ despite NYC network
OKX Ventures,Hong Kong / Seychelles,Asia,-,CVC,Equity + tokens,Exchange ecosystem,-,Broad,n/a,Monitor,K
Orange DAO,Remote,Global,-,YC-alumni crypto fund,Pre-seed,YC-network crypto founders,-,-,n/a,Monitor,K
Outlier Ventures,"London, UK",Europe,-,Accelerator,Pre-seed accelerator,Web3 broad,Jamie Burke,Large accelerator cohort history,n/a,Monitor,K,,Door: Mentor network
Polygon Ventures,Global / remote,Global,People (verify),Ecosystem fund,Equity + tokens,Polygon ecosystem,-,Coinme buy (Polygon Labs corp dev),n/a,Monitor,K,,Door: Ecosystem door
Propel Venture Partners,"San Francisco, CA",US West,-,Fintech VC (BBVA-seeded),Seed/A,Fintech; crypto-adjacent,-,"Coinbase (early, verify)",n/a,Monitor,K
Rockaway Blockchain Fund (RBF),"Prague, CZ",Europe,-,Crypto-native VC,Seed/A,"Infra, DeFi",Viktor Fischer,-,n/a,Monitor,K
Ryze Labs (ex-Sino Global),Asia / distributed,Asia,Office (verify),Crypto-native VC,Seed,"Solana-aligned, Asia",-,Solana ecosystem,n/a,Monitor,K
Samsung Next,"San Francisco, CA",US West,Office (verify),CVC,Seed equity,Frontier tech incl. web3,-,Web3 seed bets,n/a,Monitor,K
SBI Investment,"Tokyo, JP",Asia,-,CVC (SBI Group),Equity,Japan digital assets,-,"B2C2, bitbank (group deals)",Multi-fund,Monitor,K,,Door: Group's bitbank/B2C2 M&A = corp dev overlap
SevenX Ventures,Asia (distributed),Asia,-,Crypto-native VC,Seed,"Infra, consumer",-,-,n/a,Monitor,K
Signature Ventures,"Munich, DE",Europe,-,Crypto-native VC (small),Seed,Infra,-,-,n/a,Monitor,K
Sora Ventures,"Taipei, TW",Asia,-,Crypto-native VC (small),Seed,"Bitcoin DATs in Asia, media",Jason Fang,Asia DAT deals,n/a,Monitor,K
Stellar Development Foundation,"San Francisco, CA",US West,-,Ecosystem fund,Equity + grants,"Payments, anchors, MoneyGram web",Denelle Dixon,MoneyGram partnership era,Enterprise Fund,Monitor,K,,Door: Payments thesis adjacency
Superscrypt,Singapore,Asia,-,Temasek-linked crypto VC,Seed,"Infra, consumer",-,-,n/a,Monitor,K,,Door: Institutional Singapore angle
Tether Investments,El Salvador,Global,-,Strategic investor (CVC-like),Large strategic checks,"AI, energy, bitcoin mining, media, agriculture",Paolo Ardoino,"Adecoagro (~70%), Twenty One, Rumble (verify)",$B-scale profits deployed,Monitor,K,,Door: Not a hiring door; strategic weight only; The most capital-rich strategic in crypto
Thrive Capital,"New York, NY",NYC,HQ,"Growth, minimal crypto",Growth equity,AI/consumer core,Josh Kushner,"OpenAI, Stripe",Thrive X $10B (2026),Monitor,R,,Door: Peripheral; Full detail on VC Fund Database tab
YZi Labs (ex-Binance Labs),Global,Asia,-,CVC / incubator,Equity + tokens + incubation,BNB ecosystem + broad,Ella Zhang era relaunch (verify),Massive portfolio,$10B era portfolio (verify),Monitor,K,,Door: US practicality low; Rebranded from Binance Labs 2025
0xPARC,Remote,US Remote,-,Nonprofit R&D collective,Grants,Applied ZK research and dev grants,Brian Gu (gubsheep),Dark Forest (incubated),,Track,K,,verify
0xPARC Foundation,Remote,US Remote,-,Nonprofit R&D collective / grants,Grants,Applied ZK cryptography R&D and grants,Brian Gu (gubsheep),"Supported Dark Forest, ZK Email",,Track,K
100X.VC,"Mumbai, India",Asia,-,Generalist w/ crypto,Pre-seed/seed,iSAFE pre-seed cohorts incl. web3,Sanjay Mehta,CoinDCX,,Track,K,,verify
10T Holdings,"New York, USA",NYC,HQ,Crypto growth equity,Growth,mid/late-stage digital asset companies,Dan Tapiero,"Kraken, Ledger, Gemini, Animoca Brands",~$1.4B AUM incl 1RT,Track,K
13books Capital (fka Element Ventures),"London, UK",UK,-,Fintech VC,Seed/A,European fintech; crypto protection tech,"Michael McFadgen, Steve Gibson",Coincover,,Track,K,,verify
1982 Ventures,Singapore,Asia,-,VC,Seed,"SEA fintech payments, crypto payments deals","Herston Powers, Scott Krivokopich",Triple-A,~$20M Fund I,Track,K
21e6 Capital,"Pfaeffikon, Switzerland",Europe,-,FoF,Multi-stage,"crypto FoF advisory, fund database",Philipp Kallerhoff,,,Track,K,,verify
21Shares (21.co),"Zurich, Switzerland",Europe,Office,Crypto asset manager (ETPs),Liquid markets,Crypto ETPs and index products,"Hany Rashwan, Ophelia Snyder (co-founders)",,~$2B valuation (2021 raise),Track,K
2TM Group (Mercado Bitcoin),"São Paulo, Brazil",LatAm,-,Exchange group (strategic M&A),-,exchange holding; crypto acquisitions Brazil/Portugal,Reinaldo Rabelo (Mercado Bitcoin CEO),Portal do Bitcoin; CriptoLoja (acquired),~$200M SoftBank round (2021),Track,K
3iQ,"Toronto, Canada",Canada,-,Liquid asset manager,Liquid,"regulated digital asset funds, ETFs",Fred Pye,,,Track,K
50 Partners,"Paris, France",Europe,-,Accelerator,Pre-seed/seed,Entrepreneur-backed accelerator w/ web3 program,Jérôme Masurel,,,Track,K,,verify
6529 Capital,Remote,Global,-,NFT-native fund,Early + assets,NFT and open-metaverse investing,punk6529,"6529 NFT Fund holdings (gen-art, Otherdeeds)",,Track,K
7RIDGE,"London, UK",UK,-,growth equity,growth,"financial market infrastructure, DLT bets","Carsten Kengeter, Veronica Augustsson","Digital Asset, Trading Technologies",,Track,K
A100x Ventures,"New York, USA",NYC,HQ,Crypto-native VC,Pre-seed/seed,Blockchain plus AI early-stage,Nisa Amoils,,,Track,K,,verify
abrdn (strategic),"Edinburgh, UK",UK,Verify,Asset-manager strategic,Growth,digital securities exchange stake,Duncan Moir,Archax,,Track,K
Abu Dhabi Catalyst Partners,"Abu Dhabi, UAE",MEA,Verify,Sovereign-backed JV fund,Growth,ADGM fintech and digital asset bets,,MidChains (ADGM crypto exchange),~$1B,Track,K
AC Ventures,"Jakarta, Indonesia",Asia,-,VC (generalist),seed-Series A,Indonesia tech VC; crypto exchange bets,"Adrian Li, Michael Soerijadji",Reku (led round),~$200M Fund V,Track,K
Accel,"Palo Alto, USA",US West,-,Generalist w/ crypto,Multi-stage,crypto compliance and exchange bets,,Chainalysis,,Track,K
Accel India,"Bengaluru, India",Asia,-,Generalist w/ crypto,Seed/A,"seed-to-growth, occasional crypto deals",Shekhar Kirani,Pillow,~$650M Fund VII,Track,K
Accolade Partners,"Washington, USA",US East,-,FoF,Multi-stage,blockchain VC fund-of-funds since 2018,"Joelle Kayden, Atul Rustgi",,~$1.3B blockchain AUM; Blockchain III $202M,Track,K
Activant Capital,"Greenwich, USA",US East,-,Growth equity,Series A–growth,Commerce and payments infrastructure incl. stablecoins,Steve Sarracino,Velocity (stablecoin settlement),~$1B+ AUM,Track,K
Adanian Labs,"Nairobi, Kenya",MEA,-,Venture studio,Pre-seed/seed,pan-African AI + blockchain venture studio,"John Kamara, Irene Kiwia","AfyaRekod, Africa Blockchain Center",,Track,K
Adaverse,"Riyadh, Saudi Arabia",MEA,-,Accelerator,Pre-seed/seed,"Cardano ecosystem, Saudi and Africa web3",Vincent Li,,,Track,K,,verify
Addition,"New York, USA",NYC,HQ,Growth VC,Growth,early + growth tech; crypto infra,Lee Fixel,Chainalysis,~$1.3B Fund I,Track,K
ADQ,"Abu Dhabi, UAE",MEA,-,Sovereign wealth fund,Growth/strategic,"Digital assets via venture arm, mining JV",Mohamed Hassan Alsuwaidi,Further Ventures (anchor backer); Zero Two/Marathon Digital mining JV,~$200B AUM,Track,K
Advanced Blockchain AG,"Berlin, Germany",Europe,-,Listed incubator/investor,Pre-seed/seed,Incubates and invests in web3 protocols,,"peaq, Composable Finance",,Track,K
AE Ventures (aeternity Ventures),"Sofia, Bulgaria",Europe,-,Ecosystem fund,Pre-seed/seed,"aeternity ecosystem, Starfleet accelerator (dormant)",Nikola Stojanow,,,Track,K,,verify
Aeternity Crypto Foundation,"Vaduz, Liechtenstein",Europe,-,Ecosystem fund,Grants,Aeternity ecosystem grants (largely dormant),Yanislav Malahov,,,Track,K,,verify
Aethir Ecosystem Fund,Singapore,Asia,-,Ecosystem/grant fund,Grants/Seed,Decentralized GPU compute ecosystem fund,Mark Rydon,50+ AI and gaming projects,~$100M (ATH tokens),Track,K,,verify
Affirm (strategic),"San Francisco, USA",US West,Office,Consumer fintech strategic,Growth,Bitcoin savings partner equity stake,Max Levchin (CEO),NYDIG (2021 $1B round),,Track,K,,verify
Aglaé Ventures,"Paris, France",Europe,Verify,Family office,Multi-stage,Groupe Arnault tech arm with crypto deals,,Ledger,,Track,K,,verify
AirTree Ventures,"Sydney, Australia",Oceania,-,Generalist w/ crypto,Seed/A,generalist with dedicated web3 sleeve,"Craig Blair, John Henderson",Immutable,~A$50M web3 fund,Track,K
Al Mada Ventures,"Casablanca, Morocco",MEA,-,CVC / Africa fund,Seed–Series B,"African tech, stablecoin infrastructure deals",Omar Laalej,Checker (co-led),~$110M,Track,K,,verify
AlbionVC,"London, UK",UK,-,Generalist w/ crypto,Seed/A,"B2B software, health; blockchain analytics",Ed Lascelles,Elliptic,,Track,K,,verify
Alchemy Ventures,"San Francisco, USA",US West,Verify,CVC,Seed/A,web3 devs building on Alchemy,"Nikil Viswanathan, Joe Lau",,,Track,K,,verify
Aleph Zero Foundation,"Zug, Switzerland",Europe,-,Foundation / ecosystem fund,Grants + follow-on,Privacy L1 (ZK+MPC) ecosystem program,"Antoni Zolciak, Adam Gagol",,~$50M program (2023),Track,K
Alexia Ventures,"São Paulo, Brazil",LatAm,-,VC (generalist),Seed-Series A,SaaS/AI generalist with stated web3 thesis,Patrick Arippol,,,Track,K,,verify
Algorand Foundation,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,"Algorand ecosystem grants, DeFi funding",Staci Warden,,~150M ALGO Viridis fund,Track,K
Aliya Capital Partners,"Miami, USA",US South,-,Generalist w/ crypto,Growth,"late-stage tech, some crypto exposure",Ross Kestin,FTX (written down),,Track,K,,verify
Alliance (AllianceDAO),Remote,US Remote,-,Accelerator,Pre-seed/seed,consumer crypto accelerator,"Qiao Wang, Imran Khan",Pump.fun,,Track,K
Alpha JWC Ventures,"Jakarta, Indonesia",Asia,-,VC (generalist),seed-growth,Indonesia tech VC; some crypto exposure,"Chandra Tjan, Jefrey Joe","Pintu (participant, reported)",~$433M Fund III,Track,K,,verify
Alphabit,"Dubai, UAE",MEA,-,Liquid + venture,Multi-stage,"digital currency fund, early token deals",Liam Robertson,,~$100M,Track,K,,verify
AltAlpha Digital,"Zurich, Switzerland",Europe,-,FoF,Multi-stage,curated crypto hedge fund FoF,"Marc Bernegger, Dirk Steinhoff",,,Track,K
Altonomy,"New York, USA",NYC,HQ,OTC/trading firm ventures desk,"Seed, token",Trading desk early token investments,Ricky Li (co-founder); Bo Dong,,,Track,K,,verify
Altshuler Shaham,"Tel Aviv, Israel",MEA,-,Pension & provident fund manager,Allocation,Pension Bitcoin trust allocation,Gilad Altshuler,Grayscale Bitcoin Trust position,~$100M GBTC,Track,K
Altshuler Shaham Horizon,"Tel Aviv, Israel",MEA,-,Crypto asset manager (bank-affiliated),Liquid,"Digital asset funds, trading, arbitrage",Ilan Sterk (trading lead),,,Track,K,,verify
Alumni Ventures,"Manchester, USA",US East,Verify,Generalist w/ crypto,Multi-stage,Dedicated blockchain/web3 fund; co-invests,Mike Collins,,~$1.3B AUM,Track,K
Amber Group,Singapore,Asia,-,Crypto trading firm venture/strategic arm,"Seed-Series B, token",Trading firm eco-fund and strategic bets,Michael Wu (co-founder/CEO),,~$100M metaverse/eco fund (2022),Track,K
Amentum Investment Management,"San Francisco, USA",US West,-,Liquid + venture,Seed/A,thesis-driven crypto asset investing,Steven McKie,,,Track,K,,verify
American Express Ventures,"New York, USA",NYC,HQ,CVC,Multi-stage,payments fintech; select crypto bets,,"Abra, FalconX, Stripe",,Track,K
AMP (AMP Super),"Sydney, Australia",Oceania,-,Superannuation manager,Allocation,Super fund Bitcoin futures allocation,Anna Shelley,Bitcoin futures allocation in super portfolios,~A$27M BTC,Track,K
Anagram,"New York, USA",NYC,HQ,Venture studio / crypto fund,Pre-seed/Seed,Crypto venture studio and early investments,"Joe Eagan (partner, ex-Polychain)",,,Track,K,,verify
Andreessen Horowitz,"Menlo Park, USA",US West,Office,Generalist w/ crypto,Multi-stage,a16z crypto; largest dedicated crypto funds,"Chris Dixon, Arianna Simpson, Ali Yahya","Coinbase, Uniswap, OpenSea",~$7.6B dedicated crypto funds,Track,K
Animoca Ventures (Animoca Brands),Hong Kong,Asia,-,CVC,Multi-stage,"web3 gaming, metaverse, open IP",Yat Siu,"OpenSea, Dapper Labs, Sky Mavis",,Track,K
ANOBAKA,"Tokyo, Japan",Asia,-,Generalist w/ crypto,Pre-seed/seed,consumer seed VC w/ web3 thesis,Yasukazu Nagano,,,Track,K,,verify
Antalpha Platform Holding,Singapore,Asia,-,Mining finance platform,Growth/Debt,Bitmain-linked miner supply-chain financing,Micree Zhan (parent owner),,"~$49M IPO (Nasdaq: ANTA, 2025)",Track,K
Antler India,"Bengaluru, India",Asia,-,Generalist w/ crypto,Pre-seed/seed,"day-zero investing, dedicated web3 thesis","Nitin Sharma, Rajiv Srivatsa",,,Track,K
Apeiron Investment Group,Malta,Europe,Verify,Family office,Multi-stage,"Angermayer FO, crypto, mining, fintech",Christian Angermayer,"Northern Data, Samara Asset Group",~$2.5B AUM,Track,K
Apollo Global Management,"New York, USA",NYC,HQ,PE/credit,Growth,"credit/PE; digital assets, tokenization","Marc Rowan, Christine Moy",Anchorage Digital,~$700B AUM,Track,K,,verify
AppWorks,"Taipei, Taiwan",Asia,-,Accelerator,Multi-stage,TW accelerator; web3 vertical,Jamie Lin,,,Track,K
Aptos Foundation,"Grand Cayman, Cayman Islands",Global,-,Ecosystem fund,Pre-seed/seed,Aptos ecosystem grants and incentives,"Mo Shaikh, Avery Ching (Aptos Labs)",,,Track,K
Aqua1 Foundation,"Dubai, UAE",MEA,-,Crypto-native VC,Growth,web3 fund; $100M WLFI token purchase,Dave Lee,World Liberty Financial,,Track,K,,verify
Arab Bank Switzerland (strategic),"Geneva, Switzerland",Europe,-,bank strategic,strategic,crypto-friendly private bank; tokenization infrastructure,,Taurus,,Track,K
Arbitrum Foundation,"Grand Cayman, Cayman Islands",Global,Verify,Ecosystem fund,Pre-seed/seed,Arbitrum L2 ecosystem grants,"Steven Goldfeder, Ed Felten (Offchain Labs)",,,Track,K
Arcanum Capital,Remote,Asia,-,Crypto-native VC,Pre-seed/seed,"India-first emerging-markets blockchain, DeFi",,,~$12M Fund I,Track,K,,verify
Arche Capital,"New York, USA",NYC,HQ,VC,pre-seed/seed,"open financial infrastructure, web3 x fintech","Vanessa Grellet (ex-CoinFund/ConsenSys), William Wolf",,~$17M Fund I (launched Aug 2024),Track,K
ARK Invest,"St. Petersburg, USA",US South,-,Asset manager w/ crypto,Public/growth,"disruptive innovation, bitcoin ETF, crypto equities",Cathie Wood,"Coinbase, ARKB spot BTC ETF",~$14B AUM,Track,K
Ascensive Assets,"London, UK",UK,-,Crypto investment firm,Seed/private rounds,GameFi-active crypto investment firm,Oliver Blakey,,,Track,K,,verify
Astronaut Capital,Singapore,Asia,-,research-led asset manager,Early/liquid,crypto fund with Picolo Research arm,Matthew Dibb,,,Track,K,,verify
ASX,"Sydney, Australia",Oceania,-,CVC,Growth,post-trade DLT (CHESS replacement shelved),,Digital Asset,,Track,K
Asymmetric,"Miami, USA",US South,-,Crypto fund (liquid + venture),Venture + liquid,Crypto venture; liquid fund wound down,Joe McCann (founder/CEO),,,Track,K
Asymmetric Financial,Remote,US Remote,-,Hedge fund / VC,Liquid + early,Solana-focused liquid and venture fund,Joe McCann (founder/CEO),,,Track,K
Atinum Investment,"Seoul, South Korea",Asia,-,Generalist w/ crypto,Seed/A,"generalist VC, crypto data deals",,CryptoQuant (led $6.5M round),,Track,K
Atreides Management,"Boston, USA",US East,-,Crossover fund,Growth,Compute-focused public/private crossover,Gavin Baker,Crusoe,,Track,K,,verify
AU21 Capital,"San Francisco, USA",US West,-,Crypto-native VC,Pre-seed/seed,"early-stage tokens, Asia ties","Chandler Song, Kai Wu",,,Track,K,,verify
Augmentum Fintech,"London, UK",UK,-,Fintech VC,Multi-stage,"LSE-listed fintech fund; exchanges, crypto managers",Tim Levene,"Gemini, ParaFi Capital, Zopa",~£280M NAV,Track,K
Avalanche Foundation,"Grand Cayman, Cayman Islands",Global,People,Ecosystem fund,Pre-seed/seed,"Avalanche ecosystem incentives, Blizzard fund",Emin Gün Sirer (Ava Labs),,~$200M+ Blizzard fund,Track,K
Avaloq,"Zurich, Switzerland",Europe,-,Corporate VC (strategic),Strategic,Banking software; crypto custody stakes,Francisco Fernandez (founder),"Metaco (10% stake, 2019)",,Track,K
Avantgarde Finance,"London, UK",UK,-,Institutional DeFi asset manager,Treasury/liquid,Onchain asset management via Enzyme,Mona El Isa (founder/CEO),Enzyme vaults; Nexus Mutual mandate,,Track,K
Avenir Group,Hong Kong,Asia,-,Family office,Multi-stage,"Bitcoin, digital asset investments",Li Lin,,~$1B+ BTC ETF holdings,Track,K
Avocado Guild,Remote,Global,-,GameFi guild DAO,Guild treasury/early,play-to-earn guild with treasury investments,Brendan Wong (CEO),,"~$18M raise (Animoca, Three Arrows)",Track,K,,verify
Avon Ventures,"Boston, USA",US East,-,CVC,Seed/A,Fidelity/FMR-affiliated crypto venture fund,,"Flipside Crypto, Talos",,Track,K,,verify
Awesome People Ventures,Remote,US Remote,-,Generalist w/ crypto,Pre-seed/seed,"Web3, DAOs, future of work",Julia Lipton,,,Track,K,,verify
AXA Venture Partners (AVP),"Paris, France",Europe,Office,Insurer CVC,Seed-Growth,Fintech/enterprise; early Blockstream backer,Francois Robinet (managing partner),Blockstream (led 2016 Series A as AXA Strategic Ventures),~$2B+ AUM,Track,K,,verify
Axia8 Ventures,Hong Kong,Asia,-,Crypto-native VC,Seed/A,"DeFi, trading infrastructure, early tokens",Wayne Lin,WOO Network,,Track,K,,verify
Axiom (Axiom BTC Capital),Remote,US Remote,-,VC,Pre-seed/Seed,"Bitcoin infrastructure, sound-money thesis",,,~$50M Fund II target,Track,K,,verify
